itemID,WeekGroup,count,count_diff1,count_diff2,count_diff3,count_diff4,count_diff5,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,simulationPrice,brand,manufacturer,customerRating,category1,category2,category3,recommendedRetailPrice,cluster
1,11,,0.006006628003314002,0.0006213753106876553,0.06172328086164043,0.00020712510356255177,0.0,0,0,0,0,3.43,0,1,4.38,1,1,1,8.84,4.0
2,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9.15,0,2,3.0,1,2,1,16.92,1.0
3,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.04,0,3,5.0,1,3,1,15.89,1.0
4,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.1,0,2,4.44,1,2,1,40.17,1.0
5,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.48,0,2,2.33,1,1,1,17.04,1.0
6,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17.25,0,2,4.2,1,2,1,20.9,1.0
7,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34.39,0,3,4.0,1,3,1,26.4,1.0
8,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.98,0,4,5.0,1,1,1,14.13,1.0
9,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,199.84,0,5,5.0,1,1,1,165.06,1.0
10,11,,0.0,0.0,0.0006213753106876553,0.0,0.0,0,0,0,0,24.17,0,4,5.0,1,1,1,19.43,2.0
11,11,,0.0008285004142502071,0.0010356255178127587,0.0012427506213753105,0.04266777133388567,0.0004142502071251035,0,0,0,0,2.13,0,2,4.88,1,2,1,9.22,4.0
12,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.11,0,2,5.0,1,3,1,10.15,1.0
13,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10.83,0,4,3.33,1,1,1,20.24,1.0
14,11,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29.67,0,2,0.0,1,4,1,13.07,1.0
